name,year,team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG,SLG,OBP,OPS,SBPER
김현수,2011,두산,475,71,143,25,2,13,91,5,3,71,6,63,15,0.301,0.444,0.392,0.836,0.625
김현수,2012,두산,437,47,127,17,1,7,65,6,3,46,3,50,9,0.291,0.382,0.358,0.74,0.667
김현수,2013,두산,434,63,131,23,1,16,90,2,4,62,2,71,6,0.302,0.47,0.382,0.852,0.333
김현수,2014,두산,463,75,149,26,0,17,90,2,0,53,7,45,10,0.322,0.488,0.396,0.884,1
김형철,2010,KIA,9,1,1,0,0,0,0,0,0,0,0,3,0,0.111,0.111,0.111,0.222,NA
김회성,2010,한화,17,0,0,0,0,0,0,0,0,2,0,7,1,0,0,0.105,0.105,NA
김회성,2011,한화,49,5,7,3,0,2,6,0,0,5,3,19,2,0.143,0.327,0.259,0.586,NA
김회성,2014,한화,140,21,33,8,1,6,18,0,0,14,4,45,4,0.236,0.436,0.321,0.757,NA
김희석,2014,삼성,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
나성범,2013,NC,404,55,98,18,5,14,64,12,2,33,15,95,7,0.243,0.416,0.319,0.735,0.857
나성범,2014,NC,477,88,157,28,5,30,101,14,5,42,15,128,4,0.329,0.597,0.4,0.997,0.737
나성용,2011,한화,38,4,9,3,0,2,7,0,0,4,0,15,1,0.237,0.474,0.31,0.784,NA
나지완,2010,KIA,316,42,68,11,0,15,53,3,2,45,18,82,9,0.215,0.392,0.343,0.735,0.6
나주환,2010,SK,305,49,82,13,2,7,42,14,6,25,5,74,3,0.269,0.393,0.332,0.725,0.7
나지완,2011,KIA,291,41,88,9,0,18,66,0,1,35,4,63,4,0.302,0.519,0.384,0.903,0
나지완,2012,KIA,398,40,109,17,1,11,56,7,3,56,13,93,9,0.274,0.405,0.377,0.782,0.7
나지완,2013,KIA,435,57,125,18,0,21,96,7,3,62,18,111,12,0.287,0.474,0.394,0.868,0.7
나주환,2013,SK,23,0,2,0,0,0,0,0,0,0,0,8,0,0.087,0.087,0.087,0.174,NA
나지완,2014,KIA,398,64,124,22,0,19,79,3,3,54,12,97,9,0.312,0.51,0.404,0.914,0.5
나주환,2014,SK,422,64,115,25,0,7,51,10,3,36,3,101,8,0.273,0.382,0.332,0.714,0.769
노수광,2014,한화,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
노진혁,2013,NC,327,32,73,19,2,3,27,1,3,26,1,83,5,0.223,0.321,0.282,0.603,0.25
노진혁,2014,NC,16,3,3,0,0,1,2,0,1,0,0,7,0,0.188,0.375,0.188,0.563,0
로티노,2014,넥센,216,30,66,18,0,2,22,2,0,29,1,22,7,0.306,0.417,0.389,0.806,1
류은재,2011,KIA,13,3,4,1,1,2,7,0,0,1,0,5,0,0.308,1,0.357,1.357,NA
류지혁,2012,두산,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,NA
마낙길,2013,NC,29,5,9,1,0,0,0,2,2,1,0,5,0,0.31,0.345,0.333,0.678,0.5
마낙길,2014,NC,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,NA
모상기,2011,삼성,74,7,14,3,0,4,11,0,0,10,0,29,2,0.189,0.392,0.282,0.674,NA
모상기,2012,삼성,16,0,1,0,0,0,0,0,0,0,1,8,0,0.063,0.063,0.118,0.181,NA
모상기,2013,삼성,8,0,1,0,0,0,0,1,1,2,0,3,0,0.125,0.125,0.3,0.425,0.5
모창민,2010,SK,60,14,11,2,0,1,2,5,3,5,0,15,4,0.183,0.267,0.246,0.513,0.625
모창민,2012,SK,32,7,8,2,0,1,2,2,1,2,0,7,0,0.25,0.406,0.294,0.7,0.667
모창민,2013,NC,395,57,109,24,3,12,51,16,3,37,1,68,11,0.276,0.443,0.339,0.782,0.842
모창민,2014,NC,419,62,110,15,0,16,72,14,3,37,0,82,13,0.263,0.413,0.32,0.733,0.824
문규현,2010,롯데,173,18,41,8,0,3,16,2,1,15,4,40,3,0.237,0.335,0.308,0.643,0.667
문규현,2011,롯데,327,40,79,13,3,2,39,5,2,28,7,60,4,0.242,0.318,0.312,0.63,0.714
문규현,2012,롯데,244,17,50,10,0,0,17,0,2,13,4,50,3,0.205,0.246,0.255,0.501,0
문규현,2013,롯데,101,10,24,2,0,0,6,2,0,11,0,23,1,0.238,0.257,0.307,0.564,1
문규현,2014,롯데,235,33,66,16,0,2,27,5,2,26,0,30,7,0.281,0.374,0.35,0.724,0.714
문선엽,2014,삼성,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
문선재,2010,LG,5,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,NA
문선재,2013,LG,217,31,58,10,1,4,25,8,5,13,3,71,1,0.267,0.378,0.316,0.694,0.615
문선재,2014,LG,20,4,3,1,0,0,4,3,0,3,0,5,0,0.15,0.2,0.25,0.45,1
문우람,2012,넥센,65,4,15,4,0,0,3,0,0,4,1,13,0,0.231,0.292,0.282,0.574,NA
문우람,2013,넥센,256,41,78,19,0,4,28,2,2,25,4,43,1,0.305,0.426,0.373,0.799,0.5
문우람,2014,넥센,324,46,92,24,4,6,43,5,3,33,2,54,10,0.284,0.438,0.352,0.79,0.625
민병헌,2010,두산,70,23,20,2,1,0,4,11,4,9,0,14,0,0.286,0.343,0.367,0.71,0.733
민병헌,2012,두산,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.111,0.111,NA
민병헌,2013,두산,383,71,122,21,7,9,65,27,8,40,7,62,7,0.319,0.48,0.387,0.867,0.771
민병헌,2014,두산,470,85,162,31,3,12,79,16,8,37,6,63,11,0.345,0.5,0.395,0.895,0.667
바티스타,2012,한화,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
박건우,2013,두산,48,12,13,1,0,1,7,2,3,1,1,11,4,0.271,0.354,0.3,0.654,0.4
박건우,2014,두산,61,7,11,4,1,0,3,1,0,4,0,13,0,0.18,0.279,0.231,0.51,1
박경수,2010,LG,231,33,60,21,0,3,21,10,2,30,16,52,3,0.26,0.39,0.381,0.771,0.833
박경수,2011,LG,317,36,72,11,1,4,26,10,8,48,7,66,7,0.227,0.306,0.338,0.644,0.556
박경수,2014,LG,162,33,37,6,1,2,19,7,1,25,5,33,6,0.228,0.315,0.344,0.659,0.875
박경완,2010,SK,381,51,100,20,0,14,67,1,1,46,27,88,11,0.262,0.425,0.379,0.804,0.5
박경완,2011,SK,15,0,2,0,0,0,1,0,0,1,0,6,2,0.133,0.133,0.188,0.321,NA
박경완,2012,SK,20,0,2,0,0,0,0,0,0,1,0,6,2,0.1,0.1,0.143,0.243,NA
박경완,2013,SK,19,1,2,0,0,1,1,0,0,0,1,5,1,0.105,0.263,0.15,0.413,NA
박계현,2014,SK,129,23,44,9,0,0,13,7,3,8,0,24,2,0.341,0.411,0.371,0.782,0.7
박기남,2010,KIA,147,26,40,6,0,3,24,3,3,18,3,27,1,0.272,0.374,0.361,0.735,0.5
박기남,2011,KIA,152,23,34,9,0,3,16,4,2,20,4,31,7,0.224,0.342,0.33,0.672,0.667
박기남,2012,KIA,225,28,57,16,0,2,25,1,0,27,5,34,1,0.253,0.351,0.341,0.692,1
박기남,2013,KIA,174,35,50,11,0,4,21,2,0,25,2,28,4,0.287,0.42,0.379,0.799,1
박기남,2014,KIA,171,21,49,9,0,3,21,2,5,22,2,25,5,0.287,0.392,0.371,0.763,0.286
박기혁,2010,롯데,153,10,33,3,0,0,13,2,0,6,1,18,5,0.216,0.235,0.248,0.483,1
박기혁,2013,롯데,60,4,12,2,0,0,9,1,3,9,0,11,3,0.2,0.233,0.304,0.537,0.25
박기혁,2014,롯데,51,8,8,2,0,0,2,0,1,10,0,11,1,0.157,0.196,0.295,0.491,0
박노민,2010,한화,37,3,7,3,0,1,2,0,0,1,1,16,1,0.189,0.351,0.231,0.582,NA
박노민,2011,한화,72,10,18,3,0,2,11,1,0,6,1,16,1,0.25,0.375,0.316,0.691,1
박노민,2012,한화,41,1,7,1,0,0,2,0,0,6,0,13,1,0.171,0.195,0.277,0.472,NA
박노민,2013,한화,64,4,14,4,0,0,7,1,0,2,0,23,2,0.219,0.281,0.242,0.523,1
박노민,2014,한화,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
박동원,2010,넥센,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
박동원,2013,넥센,98,5,19,6,0,1,6,1,0,7,1,28,6,0.194,0.286,0.255,0.541,1
박동원,2014,넥센,174,32,44,7,2,6,26,0,0,13,5,41,7,0.253,0.42,0.321,0.741,NA
박명환,2014,NC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
박민우,2013,NC,41,10,11,1,0,0,6,9,2,5,0,6,3,0.268,0.293,0.34,0.633,0.818
박민우,2014,NC,416,87,124,21,9,1,40,50,10,56,11,89,5,0.298,0.399,0.392,0.791,0.833
박병호,2010,LG,160,25,30,4,0,7,22,5,1,26,2,55,5,0.188,0.344,0.305,0.649,0.833
박병호,2011,넥센,201,31,51,11,2,13,31,2,0,26,2,76,5,0.254,0.522,0.343,0.865,1
박병호,2012,넥센,469,76,136,34,0,31,105,20,9,73,11,111,6,0.29,0.561,0.393,0.954,0.69
박병호,2013,넥센,450,91,143,17,0,37,117,10,2,92,8,96,7,0.318,0.602,0.437,1.039,0.833
박병호,2014,넥센,459,126,139,16,2,52,124,8,3,96,12,142,13,0.303,0.686,0.433,1.119,0.727
박상규,2013,한화,6,0,1,0,0,0,1,0,0,1,0,2,0,0.167,0.167,0.286,0.453,NA
박상혁,2013,NC,15,0,2,0,0,0,0,0,0,0,0,5,0,0.133,0.133,0.133,0.266,NA
박상현,2010,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
박석민,2010,삼성,356,58,108,18,0,15,64,3,2,76,15,84,14,0.303,0.48,0.44,0.92,0.6
박석민,2011,삼성,457,74,127,24,3,15,86,3,1,59,13,105,13,0.278,0.442,0.374,0.816,0.75
박석민,2012,삼성,443,79,138,19,3,23,91,2,3,72,27,83,8,0.312,0.524,0.433,0.957,0.4
박석민,2013,삼성,396,61,126,24,0,18,76,4,2,54,21,73,13,0.318,0.515,0.425,0.94,0.667
박석민,2014,삼성,356,77,112,21,0,27,72,0,1,54,12,62,12,0.315,0.601,0.419,1.02,0
박세혁,2012,두산,6,1,2,1,0,0,1,0,0,0,0,0,0,0.333,0.5,0.333,0.833,NA
박세혁,2013,두산,26,4,6,3,0,0,2,0,0,3,1,6,0,0.231,0.346,0.333,0.679,NA
박승욱,2012,SK,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
박승욱,2013,SK,25,6,5,0,0,0,1,1,0,3,0,9,0,0.2,0.2,0.286,0.486,1
박용근,2010,LG,99,17,26,2,2,2,19,8,2,7,2,20,2,0.263,0.384,0.324,0.708,0.8
박용근,2014,LG,19,8,4,2,0,0,0,1,0,6,0,6,1,0.211,0.316,0.4,0.716,1
박용택,2010,LG,370,62,111,21,0,9,45,19,4,38,5,64,6,0.3,0.43,0.372,0.802,0.826
박용택,2011,LG,414,57,125,21,1,15,64,13,3,26,5,71,8,0.302,0.466,0.347,0.813,0.813
박용택,2012,LG,499,82,152,34,3,11,76,30,8,42,7,66,9,0.305,0.451,0.362,0.813,0.789
박용택,2013,LG,476,79,156,22,4,7,67,13,8,52,4,71,5,0.328,0.435,0.393,0.828,0.619
박용택,2014,LG,464,71,159,24,2,9,73,11,9,75,1,65,15,0.343,0.461,0.43,0.891,0.55
박윤,2011,SK,15,3,3,0,0,0,0,0,0,2,0,4,0,0.2,0.2,0.294,0.494,NA
박윤,2012,SK,17,0,3,1,0,0,2,0,0,0,0,3,0,0.176,0.235,0.167,0.402,NA
박윤,2014,SK,15,0,4,0,0,0,2,0,0,0,0,5,0,0.267,0.267,0.267,0.534,NA
박으뜸,2013,NC,27,6,5,1,0,0,2,1,0,3,1,8,0,0.185,0.222,0.29,0.512,1
박인성,2010,SK,321,57,82,19,1,6,42,9,6,38,7,63,2,0.255,0.377,0.342,0.719,0.6
박인성,2011,SK,301,37,77,17,4,4,39,13,5,33,5,54,7,0.256,0.379,0.337,0.716,0.722
박인성,2012,SK,269,37,58,12,0,4,23,6,9,34,1,60,8,0.216,0.305,0.304,0.609,0.4
박인성,2013,SK,262,37,69,9,2,8,36,14,1,25,3,50,4,0.263,0.405,0.331,0.736,0.933
박인성,2014,SK,63,9,12,2,1,1,6,2,1,9,2,13,1,0.19,0.302,0.311,0.613,0.667
박재홍,2010,SK,191,22,42,7,0,8,27,1,2,23,1,34,6,0.22,0.382,0.306,0.688,0.333
박재홍,2011,SK,161,11,30,8,0,1,12,4,1,15,0,36,2,0.186,0.255,0.25,0.505,0.8
박재홍,2012,SK,104,16,26,5,0,5,18,0,1,14,1,25,3,0.25,0.442,0.342,0.784,0
박정권,2010,SK,431,76,132,19,4,18,76,17,5,63,5,89,7,0.306,0.494,0.398,0.892,0.773
박정권,2011,SK,453,54,114,21,2,13,53,9,3,42,3,103,9,0.252,0.393,0.317,0.71,0.75
박정권,2012,SK,416,61,106,18,1,12,59,4,6,43,4,80,7,0.255,0.389,0.328,0.717,0.4
박정권,2013,SK,363,56,106,20,1,18,70,4,4,64,1,79,5,0.292,0.501,0.394,0.895,0.5
박정권,2014,SK,452,81,140,33,2,27,109,7,9,41,2,106,6,0.31,0.571,0.367,0.938,0.438
박정준,2010,롯데,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
박정준,2011,넥센,92,6,19,7,0,0,5,0,1,14,1,24,4,0.207,0.283,0.318,0.601,0
박정준,2012,넥센,27,3,5,1,1,0,0,0,0,1,0,8,0,0.185,0.296,0.214,0.51,NA
박정준,2013,NC,166,24,41,6,0,4,21,5,2,23,1,44,3,0.247,0.355,0.337,0.692,0.714
박정준,2014,NC,54,8,13,1,0,1,5,0,0,5,0,9,2,0.241,0.315,0.305,0.62,NA
박정환,2010,SK,92,15,28,9,0,1,10,0,2,7,1,18,2,0.304,0.435,0.36,0.795,0
박정환,2011,SK,9,1,2,1,0,0,2,0,0,2,0,5,0,0.222,0.333,0.364,0.697,NA
박종윤,2010,롯데,307,32,79,17,2,8,51,5,4,10,2,49,12,0.257,0.404,0.283,0.687,0.556
박종윤,2011,롯데,149,24,42,7,0,2,29,3,2,7,0,27,3,0.282,0.369,0.306,0.675,0.6
박종윤,2012,롯데,416,41,107,19,4,9,47,5,2,22,5,64,10,0.257,0.387,0.302,0.689,0.714
박종윤,2013,롯데,381,37,97,24,2,7,58,4,2,21,5,56,9,0.255,0.383,0.298,0.681,0.667
박종윤,2014,롯데,440,59,136,31,4,7,73,0,2,22,4,65,10,0.309,0.445,0.343,0.788,0
박준서,2010,롯데,49,4,6,2,0,0,1,1,0,3,1,10,1,0.122,0.163,0.189,0.352,1
박준서,2011,롯데,20,2,2,1,0,0,2,0,0,2,0,4,0,0.1,0.15,0.182,0.332,NA
박준서,2012,롯데,182,21,50,9,3,2,12,5,1,11,1,33,2,0.275,0.39,0.318,0.708,0.833
박준서,2013,롯데,124,15,37,6,1,2,32,2,0,13,2,23,5,0.298,0.411,0.374,0.785,1
박준서,2014,롯데,99,9,23,9,1,0,13,0,0,14,1,24,1,0.232,0.343,0.325,0.668,NA
박준태,2014,KIA,42,6,11,0,0,0,2,2,0,8,5,18,1,0.262,0.262,0.436,0.698,1
박준혁,2014,한화,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
박진만,2010,삼성,131,14,31,5,1,1,14,1,2,24,1,27,1,0.237,0.313,0.354,0.667,0.333
박진만,2011,SK,282,42,79,18,0,6,39,6,5,34,5,44,6,0.28,0.408,0.363,0.771,0.545
박진만,2012,SK,138,12,29,7,1,5,19,3,1,14,0,27,2,0.21,0.384,0.281,0.665,0.75
박진만,2013,SK,276,25,69,14,1,3,24,3,4,37,5,47,6,0.25,0.341,0.346,0.687,0.429
박진만,2014,SK,32,3,8,1,0,0,2,0,1,2,0,8,0,0.25,0.281,0.294,0.575,0
박진원,2011,SK,11,0,1,0,0,0,0,1,0,0,0,2,0,0.091,0.091,0.091,0.182,1
박진환,2011,롯데,25,2,2,1,0,0,2,0,0,0,0,6,0,0.08,0.12,0.08,0.2,NA
박찬도,2013,삼성,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0.5,NA
박찬도,2014,삼성,8,8,4,0,0,0,3,6,2,0,0,2,0,0.5,0.5,0.5,1,0.75
박찬호,2014,KIA,22,3,2,1,0,0,0,0,0,1,0,10,0,0.091,0.136,0.13,0.266,NA
박한이,2010,삼성,379,64,114,21,2,11,63,5,4,73,3,54,10,0.301,0.454,0.413,0.867,0.556
박한이,2011,삼성,429,77,110,19,2,4,30,8,2,60,5,88,7,0.256,0.338,0.353,0.691,0.8
박한이,2012,삼성,388,61,118,19,4,1,51,4,6,58,1,72,8,0.304,0.381,0.393,0.774,0.4
박한이,2013,삼성,394,56,112,12,3,6,55,4,4,51,1,74,5,0.284,0.376,0.366,0.742,0.5
박한이,2014,삼성,472,83,156,22,2,9,80,7,6,61,5,74,9,0.331,0.443,0.409,0.852,0.538
박해민,2013,삼성,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
박해민,2014,삼성,310,65,92,11,4,1,31,36,8,37,6,45,4,0.297,0.368,0.381,0.749,0.818
박헌도,2011,넥센,10,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0.091,0.091,NA
박헌도,2012,넥센,34,3,6,0,0,0,1,0,0,7,0,12,0,0.176,0.176,0.31,0.486,NA
박헌도,2013,넥센,12,0,1,1,0,0,0,0,0,1,0,6,0,0.083,0.167,0.154,0.321,NA
박헌도,2014,넥센,94,12,23,2,0,4,14,2,0,9,4,19,0,0.245,0.394,0.327,0.721,1
박헌욱,2013,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
배영섭,2010,삼성,24,5,7,2,0,0,3,1,0,2,0,6,1,0.292,0.375,0.346,0.721,1
배영섭,2011,삼성,340,51,100,15,0,2,24,33,8,29,9,47,9,0.294,0.356,0.363,0.719,0.805
배영섭,2012,삼성,412,64,101,15,2,2,34,27,6,48,9,69,4,0.245,0.306,0.335,0.641,0.818
배영섭,2013,삼성,393,66,116,16,4,2,38,23,10,52,20,62,9,0.295,0.372,0.402,0.774,0.697
백민기,2013,롯데,18,7,2,0,0,0,0,4,2,0,0,8,0,0.111,0.111,0.111,0.222,0.667
백민기,2014,롯데,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
백상원,2013,삼성,4,1,2,1,0,0,1,0,0,0,0,1,0,0.5,0.75,0.5,1.25,NA
백상원,2014,삼성,22,7,4,0,0,0,2,0,0,3,0,3,0,0.182,0.182,0.269,0.451,NA
백승룡,2011,한화,51,7,9,2,0,0,3,1,1,7,2,13,1,0.176,0.216,0.3,0.516,0.5
백승룡,2012,한화,52,3,12,1,0,0,3,3,0,6,3,20,0,0.231,0.25,0.344,0.594,1
백승룡,2013,한화,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
백용환,2013,KIA,52,4,9,4,0,0,3,0,0,6,0,16,3,0.173,0.25,0.259,0.509,NA
백용환,2014,KIA,79,8,14,2,0,4,10,0,0,5,0,28,1,0.177,0.354,0.226,0.58,NA
백창수,2010,LG,12,3,0,0,0,0,0,0,0,3,0,3,1,0,0,0.2,0.2,NA
백창수,2011,LG,36,4,7,1,1,0,3,1,0,4,0,9,0,0.194,0.278,0.275,0.553,1
백창수,2014,LG,84,15,17,2,0,1,10,3,4,10,0,17,2,0.202,0.262,0.284,0.546,0.429
변용선,2010,롯데,3,1,1,0,0,0,1,0,0,0,0,1,0,0.333,0.333,0.333,0.666,NA
변용선,2012,롯데,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
변진수,2012,두산,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
봉중근,2013,LG,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
서건창,2012,넥센,433,70,115,21,10,1,40,39,12,45,7,43,4,0.266,0.367,0.342,0.709,0.765
서건창,2013,넥센,316,53,84,13,2,0,18,26,7,33,11,29,3,0.266,0.32,0.352,0.672,0.788
서건창,2014,넥센,543,135,201,41,17,7,67,48,17,59,8,47,1,0.37,0.547,0.438,0.985,0.738
서동욱,2010,LG,45,5,11,1,0,2,4,0,0,2,0,15,1,0.244,0.4,0.277,0.677,NA
서동욱,2011,LG,303,42,81,11,1,7,37,7,1,33,8,90,4,0.267,0.38,0.352,0.732,0.875
서동욱,2012,LG,273,32,59,9,3,0,17,3,2,32,7,78,7,0.216,0.271,0.312,0.583,0.6
서동욱,2013,넥센,218,27,57,12,1,6,21,4,2,30,3,52,4,0.261,0.408,0.356,0.764,0.667
서동욱,2014,넥센,34,2,5,1,0,0,0,1,0,3,1,12,1,0.147,0.176,0.237,0.413,1
서상우,2012,LG,9,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,NA
서성종,2010,LG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
서용주,2013,KIA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
성의준,2012,삼성,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
성의준,2013,삼성,15,3,4,2,0,0,4,0,1,1,0,6,0,0.267,0.4,0.313,0.713,0
손민한,2013,NC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
손시헌,2010,두산,433,51,118,19,1,8,62,0,2,46,7,64,12,0.273,0.376,0.35,0.726,0
손시헌,2011,두산,298,39,84,10,1,4,28,2,1,37,9,44,9,0.282,0.362,0.378,0.74,0.667
손시헌,2012,두산,272,24,67,11,1,5,31,4,2,21,4,40,12,0.246,0.349,0.306,0.655,0.667
손시헌,2013,두산,234,35,59,14,1,1,26,3,1,21,6,38,5,0.252,0.333,0.328,0.661,0.75
손시헌,2014,NC,307,39,90,20,1,5,39,2,1,34,7,53,10,0.293,0.414,0.368,0.782,0.667
손아섭,2010,롯데,422,85,129,23,0,11,47,6,2,50,1,82,2,0.306,0.438,0.377,0.815,0.75
손아섭,2011,롯데,442,79,144,25,5,15,83,13,4,43,2,80,6,0.326,0.507,0.385,0.892,0.765
손아섭,2012,롯데,503,61,158,26,0,5,58,10,5,41,6,79,7,0.314,0.396,0.37,0.766,0.667
손아섭,2013,롯데,498,83,172,23,4,11,69,36,7,64,3,88,9,0.345,0.474,0.421,0.895,0.837
손아섭,2014,롯데,483,105,175,25,3,18,80,10,3,80,5,78,7,0.362,0.538,0.456,0.994,0.769
손용석,2011,롯데,57,11,15,3,1,0,12,1,0,10,1,9,1,0.263,0.351,0.377,0.728,1
손용석,2012,롯데,64,3,17,2,0,0,5,0,0,5,1,13,1,0.266,0.297,0.329,0.626,NA
손용석,2013,롯데,6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,NA
손용석,2014,롯데,4,1,1,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.5,NA
손인호,2010,LG,62,6,20,4,0,2,12,1,0,5,0,14,1,0.323,0.484,0.362,0.846,1
손인호,2011,LG,47,6,12,2,0,2,9,0,0,2,0,7,1,0.255,0.426,0.28,0.706,NA
손인호,2012,LG,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,NA
손주인,2010,삼성,26,2,5,3,0,0,3,0,1,3,1,4,0,0.192,0.308,0.3,0.608,0
손주인,2011,삼성,113,9,30,5,0,1,8,0,1,1,2,19,5,0.265,0.336,0.282,0.618,0
손주인,2012,삼성,146,11,36,6,2,0,17,1,1,10,3,15,3,0.247,0.315,0.306,0.621,0.5
손주인,2013,LG,351,42,93,17,3,3,41,9,6,40,6,63,8,0.265,0.356,0.345,0.701,0.6
손주인,2014,LG,341,50,99,11,0,5,30,4,2,30,8,42,8,0.29,0.367,0.358,0.725,0.667
손지환,2010,한화,59,6,13,3,0,1,3,0,2,2,3,5,1,0.22,0.322,0.281,0.603,0
손형준,2012,삼성,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
송광민,2010,한화,263,30,68,11,0,6,34,4,4,21,2,68,5,0.259,0.369,0.316,0.685,0.5
송광민,2013,한화,245,33,64,13,0,7,33,1,1,18,4,62,8,0.261,0.4,0.322,0.722,0.5
송광민,2014,한화,389,52,123,22,2,11,58,3,2,26,0,73,15,0.316,0.468,0.357,0.825,0.6
송산,2012,KIA,80,6,13,2,0,0,11,0,0,5,1,25,5,0.163,0.188,0.221,0.409,NA
송승준,2013,롯데,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
송승준,2014,롯데,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
송주호,2013,한화,31,5,4,0,0,0,0,0,2,2,0,8,0,0.129,0.129,0.182,0.311,0
송주호,2014,한화,22,5,3,0,0,0,2,1,0,4,0,7,0,0.136,0.136,0.269,0.405,1
송지만,2010,넥센,375,52,109,15,1,17,63,5,2,41,8,85,5,0.291,0.472,0.367,0.839,0.714
송지만,2011,넥센,301,43,80,8,1,9,43,9,1,38,3,78,5,0.266,0.389,0.351,0.74,0.9
송지만,2012,넥센,40,2,7,0,0,0,4,2,0,4,1,9,3,0.175,0.175,0.261,0.436,1
송지만,2013,넥센,51,6,14,1,0,2,8,0,0,4,1,14,1,0.275,0.412,0.339,0.751,NA
송창식,2012,한화,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
스나이더,2014,LG,100,17,21,7,0,4,17,0,2,9,3,31,0,0.21,0.4,0.292,0.692,0
스캇,2014,SK,105,17,28,7,0,6,17,0,0,20,3,18,1,0.267,0.505,0.392,0.897,NA
신경현,2010,한화,253,29,63,13,0,10,40,6,5,27,0,54,10,0.249,0.419,0.318,0.737,0.545
신경현,2011,한화,233,18,62,9,0,1,27,5,4,23,2,50,7,0.266,0.318,0.335,0.653,0.556
신경현,2012,한화,149,10,27,0,0,0,9,1,0,13,2,25,4,0.181,0.181,0.253,0.434,1
신동훈,2012,LG,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
신명철,2010,삼성,397,56,111,22,1,9,57,20,9,56,4,82,14,0.28,0.408,0.369,0.777,0.69
신명철,2011,삼성,331,38,69,11,2,2,39,13,10,38,3,68,10,0.208,0.272,0.294,0.566,0.565
신명철,2012,삼성,100,9,21,2,1,2,7,1,2,8,0,18,2,0.21,0.31,0.269,0.579,0.333
신명철,2013,삼성,72,10,17,1,0,0,5,3,2,9,0,20,4,0.236,0.25,0.317,0.567,0.6
신본기,2012,롯데,57,9,6,0,0,0,3,1,1,9,1,17,3,0.105,0.105,0.239,0.344,0.5
신본기,2013,롯데,240,27,55,11,0,1,25,6,3,24,5,55,2,0.229,0.288,0.312,0.6,0.667
신본기,2014,롯데,113,20,26,6,1,4,13,1,1,5,4,25,0,0.23,0.407,0.282,0.689,0.5
신재웅,2013,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
신종길,2010,KIA,131,22,42,6,3,1,18,16,2,4,4,25,1,0.321,0.435,0.36,0.795,0.889
신종길,2011,KIA,281,40,62,12,1,5,35,23,6,27,5,59,5,0.221,0.324,0.299,0.623,0.793
신종길,2012,KIA,83,10,13,2,2,1,2,5,5,5,0,26,0,0.157,0.265,0.202,0.467,0.5
신종길,2013,KIA,377,55,117,22,5,4,50,29,6,30,5,86,3,0.31,0.427,0.365,0.792,0.829
신종길,2014,KIA,360,60,105,24,6,9,51,20,7,29,2,92,2,0.292,0.467,0.345,0.812,0.741
