,Team,G,ERA,CG,SHO,W,L,SV,IP,PIT,BF,AB,HA,HRA,SH,SF,BBA,IBBA,HB,K,WP,BK,AR,ER
2008,KIA,126,4.08,3,9,57,69,29,26,1124,18391,4850,4206,1078,65,50,42,473,9,77,733,52,5,555
2008,NEX,126,4.43,4,10,50,76,29,36,1125.33,18768,4933,4306,1159,91,52,39,465,20,70,729,46,2,609
2008,LG,126,4.85,1,9,46,80,25,40,1108.33,18608,4976,4308,1239,82,77,39,480,4,72,631,46,3,646
2008,Total,504,4.11,21,62,504,504,255,336,9015.33,147517,39018,34098,9098,646,521,324,3589,123,482,5771,352,27,4522
2009,KIA,133,3.92,4,10,81,48,38,36,1199,19699,5176,4566,1178,108,52,34,441,22,83,893,22,2,581
2009,SK,133,3.67,2,4,80,47,33,34,1213,20394,5203,4534,1141,130,64,31,519,34,54,1032,68,3,550
2009,DOO,133,4.6,1,6,71,60,32,59,1186.33,19936,5205,4494,1221,120,73,47,515,7,75,862,55,3,662
2009,LOT,133,4.75,6,13,66,67,40,37,1162.33,18777,5165,4501,1290,139,67,42,487,35,67,722,49,3,669
2009,SAM,133,4.98,3,2,64,69,32,45,1163.66,20355,5209,4412,1226,141,80,51,609,9,56,905,67,1,700
2009,NEX,133,5.4,0,5,60,72,29,32,1174.33,20576,5221,4489,1231,176,73,33,565,19,61,840,51,5,762
2009,LG,133,5.42,0,3,54,75,25,38,1175,20615,5339,4535,1316,165,85,43,585,10,91,777,56,1,763
2009,HAN,133,5.7,4,2,46,84,16,34,1174,20758,5346,4579,1335,176,65,56,569,28,77,908,56,5,805
2009,Total,532,4.8,20,45,522,522,245,315,9447.66,161110,41864,36110,9938,1155,559,337,4290,164,564,6939,424,23,5492
2010,SK,133,3.71,2,11,84,47,36,39,1198.33,20297,5114,4417,1074,117,85,22,543,27,47,1091,80,2,545
2010,SAM,133,3.94,2,7,79,52,33,44,1193.66,19811,5119,4489,1168,103,84,38,453,11,54,951,61,3,575
2010,DOO,133,4.62,2,7,73,57,30,56,1179.66,19681,5131,4473,1190,135,89,47,437,6,85,888,58,2,669
2010,LOT,133,4.82,7,6,69,61,21,37,1194,19218,5204,4579,1291,149,89,37,419,41,78,779,49,3,710
2010,KIA,133,4.39,4,7,59,74,25,40,1183.66,20067,5205,4519,1227,93,102,35,468,19,81,885,53,4,641
2010,LG,133,5.23,3,8,57,71,31,59,1188,20443,5326,4504,1279,125,106,52,560,23,104,793,74,6,746
2010,NEX,133,4.55,1,2,52,78,27,39,1185.66,21053,5231,4380,1162,122,93,48,614,17,95,832,66,3,652
2010,HAN,133,5.43,6,6,49,82,24,28,1169.33,20322,5267,4518,1290,146,85,41,551,17,72,806,65,5,763
2010,Total,532,4.58,27,54,522,522,227,342,9492.33,160892,41597,35879,9681,990,733,320,4045,161,616,7025,506,28,5301
2011,SAM,133,3.35,1,12,79,50,48,74,1196.33,19378,5077,4527,1191,92,87,30,395,8,38,841,40,5,513
2011,SK,133,3.59,1,9,71,59,37,63,1192.33,20130,5032,4291,1001,93,99,35,541,24,65,1006,64,3,522
2011,LOT,133,4.2,3,6,72,56,27,45,1187,19624,5114,4493,1256,113,102,31,430,19,58,787,62,4,619
2011,KIA,133,4.1,7,10,70,63,29,37,1163.66,19327,4991,4340,1117,87,92,25,457,14,76,920,51,6,580
2011,DOO,133,4.26,4,7,61,70,34,46,1188.66,20081,5170,4463,1231,96,110,45,476,19,75,855,70,6,619
2011,LG,133,4.15,2,11,59,72,30,50,1193.66,19771,5209,4494,1173,80,98,34,512,20,71,827,52,6,620
2011,HAN,133,5.11,4,6,59,72,26,36,1175,20442,5280,4578,1273,128,79,44,524,10,55,938,91,2,727
2011,NEX,133,4.36,0,10,51,80,30,66,1171.33,20610,5195,4357,1167,81,115,46,601,16,76,830,73,1,622
2011,Total,532,4.14,22,71,522,522,261,417,9468,159363,41068,35543,9409,770,782,290,3936,130,514,7004,503,33,4822
2012,SAM,133,3.39,3,13,80,51,39,71,1187.66,19074,4941,4394,1085,65,82,43,384,14,37,885,46,5,473
2012,SK,133,3.82,0,10,71,59,40,69,1181.33,19078,5007,4356,1114,90,92,32,457,26,70,814,35,7,528
2012,DOO,133,3.58,9,12,68,62,38,47,1193.33,19215,5012,4331,1053,66,99,34,491,17,57,802,57,4,519
2012,LOT,133,3.48,3,9,65,62,39,63,1190.33,19536,5070,4422,1145,74,96,30,469,20,53,825,65,1,518
2012,KIA,133,3.9,11,15,62,65,27,33,1183.66,19344,5101,4431,1161,69,112,38,452,13,68,822,56,6,564
2012,NEX,133,3.83,3,6,61,69,36,34,1187.33,19743,5116,4360,1131,80,104,43,535,9,74,853,62,0,551
2012,LG,133,4.02,1,11,57,72,35,64,1202,19186,5188,4537,1235,65,116,41,422,23,71,735,57,6,580
2012,HAN,133,4.55,3,6,53,77,29,54,1172.33,19601,5092,4368,1148,106,121,47,488,18,68,936,82,3,647
2012,Total,532,3.82,33,82,517,517,283,435,9498,154777,40527,35199,9072,615,822,308,3698,140,498,6672,460,32,4380
2013,SAM,128,3.98,2,5,75,51,31,49,1146.66,19250,4896,4325,1119,98,70,29,411,12,60,955,44,4,545
2013,DOO,128,4.57,1,8,71,54,30,42,1150.33,19707,5043,4347,1183,84,67,39,514,10,76,848,55,6,625
2013,LG,128,3.72,4,9,74,54,42,86,1134.66,18714,4848,4258,1131,74,59,38,406,27,87,822,46,2,510
2013,NEX,128,4.12,0,7,72,54,50,70,1146.33,19638,4996,4299,1160,75,71,37,503,8,84,860,52,3,576
2013,LOT,128,3.93,1,11,66,58,38,64,1149.33,19418,4986,4303,1148,84,94,36,489,15,62,820,45,0,553
2013,SK,128,4.16,4,8,62,63,31,38,1139,19108,4932,4240,1091,101,75,42,505,15,70,878,66,5,571
2013,NC,128,3.96,5,5,52,72,26,31,1144.33,19087,4919,4232,1077,96,84,50,458,13,94,857,60,6,551
2013,KIA,128,5.12,2,3,51,74,32,50,1142.33,20309,5200,4465,1307,88,79,48,532,12,76,923,73,6,711
2013,HAN,128,5.31,2,2,42,85,22,34,1129,19471,5073,4325,1195,98,78,43,532,17,95,822,89,8,711
2013,Total,576,4.32,21,58,565,565,302,464,10282,174702,44893,38794,10411,798,677,362,4350,129,704,7785,530,40,5353
2014,SAM,128,4.52,3,6,78,47,35,65,1144,19628,4990,4428,1217,120,66,40,395,11,61,996,51,3,621
2014,NEX,128,5.25,0,3,78,48,35,55,1131.66,20728,5107,4437,1299,142,57,36,516,2,61,901,55,4,716
2014,NC,128,4.29,3,4,70,57,31,59,1135.66,19320,5003,4333,1174,117,78,38,481,8,73,848,50,5,608
2014,LG,128,4.58,2,9,62,64,35,65,1142.66,19440,5028,4398,1211,104,72,44,419,25,95,810,51,1,643
2014,SK,128,5.51,2,3,61,65,26,44,1129.33,20141,5112,4426,1271,153,60,36,522,19,68,837,67,1,760
2014,DOO,128,5.43,4,2,59,68,19,61,1123.66,19670,5066,4440,1311,121,63,55,450,4,58,840,56,4,733
2014,LOT,128,5.19,0,4,58,69,28,64,1133.33,19761,5092,4445,1310,127,82,42,471,13,52,781,54,1,719
2014,KIA,128,5.82,2,5,54,74,26,40,1121.66,20272,5143,4397,1289,116,66,52,561,8,67,896,78,1,788
2014,HAN,128,6.35,2,3,49,77,26,30,1129,20365,5312,4566,1451,162,69,59,537,14,81,748,83,3,889
2014,Total,576,5.21,18,39,569,569,261,483,10191,179325,45853,39870,11533,1162,613,402,4352,104,616,7657,545,23,6477
