TEAM,YEAR,G,BA,AB,AB.1,R,H,X2B,X3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GIDP,LOB,E,OBP,SLG,FA
NEX,2008,126,0.266,4834,4317,499,1149,190,19,70,1587,471,97,57,51,33,396,20,37,713,114,920,100,0.331,0.368,0.98
LG,2008,126,0.256,4743,4184,468,1070,164,23,66,1478,447,111,45,85,50,364,6,59,765,90,900,76,0.321,0.353,0.984
KIA,2009,133,0.267,5215,4455,706,1191,197,24,156,1904,671,113,52,74,41,579,27,66,890,112,955,94,0.357,0.427,0.982
SK,2009,133,0.285,5379,4574,732,1303,235,17,166,2070,693,181,68,128,40,552,16,84,892,103,1063,94,0.369,0.453,0.982
DOO,2009,133,0.28,5265,4591,722,1286,215,33,120,1927,669,129,50,26,40,522,21,86,849,128,1007,83,0.362,0.42,0.984
LOT,2009,133,0.277,5053,4420,637,1223,252,15,121,1868,597,106,45,60,49,456,9,68,816,121,928,96,0.35,0.423,0.981
SAM,2009,133,0.275,5220,4459,685,1224,233,15,146,1925,650,125,50,67,43,584,23,67,789,108,1034,80,0.364,0.432,0.984
NEX,2009,133,0.272,5211,4486,683,1219,228,20,153,1946,650,192,67,64,48,547,24,63,905,116,987,90,0.356,0.434,0.982
LG,2009,133,0.278,5248,4505,670,1251,182,21,129,1862,627,141,47,97,45,552,28,49,781,124,1018,84,0.36,0.413,0.984
HAN,2009,133,0.269,5273,4620,657,1241,211,13,164,1970,629,69,20,43,31,498,16,81,1017,126,1037,94,0.348,0.426,0.981
SK,2010,133,0.274,5213,4439,704,1217,222,16,120,1831,648,161,69,147,44,485,25,98,813,86,969,81,0.355,0.412,0.984
SAM,2010,133,0.272,5287,4436,681,1207,212,14,118,1801,630,158,55,111,44,621,29,75,916,111,1061,92,0.368,0.406,0.982
DOO,2010,133,0.281,5252,4538,731,1276,224,25,149,1997,706,128,61,54,38,533,27,89,834,97,1003,91,0.365,0.44,0.982
LOT,2010,133,0.288,5261,4673,773,1345,220,16,185,2152,739,124,51,60,41,420,15,67,873,105,907,102,0.352,0.461,0.981
KIA,2010,133,0.26,5166,4416,611,1148,190,17,106,1690,574,117,52,109,33,523,14,85,865,110,993,86,0.347,0.383,0.983
LG,2010,133,0.276,5270,4604,688,1270,223,17,121,1890,652,169,56,82,44,486,25,54,907,97,1001,92,0.349,0.411,0.982
NEX,2010,133,0.262,5139,4452,570,1165,199,20,87,1665,539,135,56,95,43,480,16,68,874,119,974,93,0.34,0.374,0.982
HAN,2010,133,0.244,5009,4321,543,1053,160,13,104,1551,508,121,70,75,33,497,10,80,943,106,911,80,0.331,0.359,0.984
SAM,2011,133,0.259,5145,4437,625,1150,193,20,95,1668,585,158,51,73,43,522,23,69,940,97,975,75,0.343,0.376,0.985
SK,2011,133,0.263,5124,4404,584,1157,204,18,100,1697,561,105,61,147,36,470,15,67,891,88,983,68,0.34,0.385,0.986
LOT,2011,133,0.288,5234,4599,713,1324,226,30,111,1943,666,112,58,61,44,466,19,64,836,124,985,106,0.358,0.422,0.98
KIA,2011,133,0.269,5129,4373,627,1177,204,15,106,1729,597,113,38,109,34,554,11,59,782,110,1021,67,0.357,0.395,0.986
DOO,2011,133,0.271,5204,4498,614,1221,196,27,92,1747,578,130,57,73,39,513,17,81,799,118,1020,81,0.354,0.388,0.984
LG,2011,133,0.266,5158,4522,579,1203,192,15,94,1707,539,116,52,86,37,463,15,49,858,106,987,97,0.338,0.377,0.981
HAN,2011,133,0.255,5085,4367,568,1112,160,14,93,1579,536,100,76,130,25,488,14,74,906,93,954,82,0.338,0.362,0.983
NEX,2011,133,0.245,4989,4343,512,1065,187,23,79,1535,472,99,55,103,32,460,16,51,992,94,917,96,0.323,0.353,0.981
SAM,2012,133,0.272,5161,4436,628,1205,200,26,89,1724,585,125,48,91,47,500,19,86,813,91,1017,67,0.353,0.389,0.987
SK,2012,133,0.258,4996,4347,564,1120,197,15,108,1671,523,104,75,118,28,445,19,58,864,85,902,63,0.333,0.384,0.987
DOO,2012,133,0.26,4938,4379,524,1139,172,26,59,1540,490,116,51,102,40,362,12,54,659,129,846,78,0.322,0.352,0.985
LOT,2012,133,0.263,5043,4481,509,1179,202,16,73,1632,479,119,53,107,26,375,19,54,890,91,964,83,0.326,0.364,0.984
KIA,2012,133,0.256,5131,4348,553,1112,197,19,54,1509,518,132,51,132,47,544,18,60,790,100,1013,88,0.343,0.347,0.983
NEX,2012,133,0.243,5021,4338,549,1056,189,28,102,1607,509,179,72,92,43,476,17,72,892,79,904,78,0.325,0.37,0.985
LG,2012,133,0.261,5180,4539,544,1184,212,18,59,1609,512,140,57,80,50,458,19,53,857,107,1010,96,0.332,0.354,0.982
HAN,2012,133,0.249,5057,4331,509,1077,208,12,71,1522,479,107,53,100,27,538,17,61,907,102,997,73,0.338,0.351,0.985
SAM,2013,128,0.283,5042,4370,669,1235,212,17,113,1820,624,95,41,84,41,453,9,93,818,98,962,76,0.359,0.416,0.984
DOO,2013,128,0.289,5142,4401,699,1271,217,37,95,1847,654,172,61,82,56,524,19,79,717,105,1018,61,0.37,0.42,0.988
LG,2013,128,0.282,4934,4291,616,1210,194,38,59,1657,574,139,71,91,42,451,11,59,806,80,939,77,0.355,0.386,0.984
NEX,2013,128,0.272,5015,4294,646,1167,209,11,125,1773,607,131,65,76,42,505,12,98,912,94,957,97,0.358,0.413,0.981
LOT,2013,128,0.261,4978,4289,556,1118,208,18,61,1545,522,133,58,74,41,502,22,72,862,92,980,98,0.345,0.36,0.98
SK,2013,128,0.265,4950,4278,588,1134,189,20,124,1735,558,144,63,83,37,465,26,86,918,99,944,84,0.346,0.406,0.983
NC,2013,128,0.244,4866,4282,512,1045,209,25,86,1562,485,142,47,55,31,434,11,62,955,94,900,93,0.32,0.365,0.981
KIA,2013,128,0.261,5051,4318,587,1125,195,13,88,1610,545,141,47,78,42,537,8,75,864,110,1005,71,0.349,0.373,0.985
HAN,2013,128,0.259,4915,4271,480,1106,212,13,47,1485,448,70,49,54,30,479,11,80,933,140,989,74,0.343,0.348,0.984
SAM,2014,128,0.301,5152,4464,812,1345,238,23,161,2112,763,161,46,76,43,507,11,62,743,88,954,77,0.377,0.473,0.984
NEX,2014,128,0.298,5163,4434,841,1323,275,31,199,2257,786,100,44,65,40,523,10,101,849,100,972,79,0.382,0.509,0.984
NC,2014,128,0.282,5031,4426,737,1249,228,36,143,1978,697,154,47,44,51,443,9,67,918,90,910,87,0.353,0.447,0.982
LG,2014,128,0.279,5070,4349,668,1214,213,22,90,1741,622,105,64,77,57,524,17,63,817,112,966,91,0.361,0.4,0.982
SK,2014,128,0.291,5082,4423,735,1285,245,22,115,1919,696,139,46,91,49,447,12,72,926,92,953,107,0.361,0.434,0.978
DOO,2014,128,0.293,5083,4427,687,1299,235,26,108,1910,646,111,44,81,43,468,10,64,731,103,1009,81,0.366,0.431,0.983
LOT,2014,128,0.287,5194,4487,716,1288,252,26,121,1955,685,63,41,62,41,534,19,70,964,95,1065,89,0.369,0.436,0.982
KIA,2014,128,0.288,5023,4443,662,1279,246,27,121,1942,631,121,63,67,35,416,11,62,870,95,961,94,0.355,0.437,0.98
HAN,2014,128,0.283,5055,4417,619,1251,223,24,104,1834,594,70,41,50,43,490,5,55,839,125,1013,113,0.359,0.415,0.977
