NAME,YEAR,TEAM,G,ABA,AB,R,H,_2B,_3B,HR,TB,RBI,BB,IBB,HBP,SO,SH,SF,SB,CS,GIDP,E,AVG,SLG,OBP,OPS,SBR,pos3,pos4,pos5,pos6,pos2,pos8
김재우,2010,HAN,5,5,5,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,,,,,,,2
김재율,2011,LG,25,28,24,2,6,2,0,0,8,4,4,0,0,7,0,0,0,0,2,0,0.25,0.333,0.357,0.69,,17,,5,,,
김재율,2012,LG,19,41,36,3,3,0,0,1,6,5,4,0,0,10,0,1,0,0,1,1,0.083,0.167,0.171,0.338,,7,,10,,,
김재현,2010,SK,111,328,267,41,77,17,0,10,124,48,52,2,2,42,4,3,7,5,10,0,0.288,0.464,0.404,0.868,0.583,1,,,,,1
김재현,2012,SK,84,93,89,22,19,4,0,0,23,5,0,0,0,18,4,0,12,5,2,0,0.213,0.258,0.213,0.471,0.706,,,,,,58
김재현,2013,SK,33,42,36,12,10,2,1,0,14,6,4,0,0,8,1,1,11,2,1,1,0.278,0.389,0.341,0.73,0.846,,,,,,23
김재현,2014,SK,60,28,25,12,5,1,0,0,6,6,0,0,2,10,0,1,8,1,0,0,0.2,0.24,0.25,0.49,0.889,,,,,,38
김재현,2014,SAM,8,8,7,0,1,0,0,0,1,1,0,0,1,4,0,0,0,0,1,0,0.143,0.143,0.25,0.393,,,2,3,6,,
김재호,2010,DOO,83,102,85,11,19,3,1,0,24,8,14,0,1,15,2,0,5,1,3,2,0.224,0.282,0.34,0.622,0.833,,34,26,25,,
김재호,2011,DOO,57,122,109,6,20,5,1,0,27,9,7,0,2,15,2,2,1,1,4,5,0.183,0.248,0.242,0.49,0.5,,11,3,44,,
김재호,2012,DOO,84,200,177,23,38,2,2,0,44,11,16,0,2,31,5,0,3,3,5,1,0.215,0.249,0.287,0.536,0.5,,25,5,50,,
김재호,2013,DOO,91,286,248,42,78,10,3,1,97,32,26,0,0,24,10,2,9,6,7,5,0.315,0.391,0.377,0.768,0.6,,39,8,70,,
김재호,2014,DOO,122,421,341,50,86,14,1,3,111,54,54,0,2,59,13,11,2,8,14,11,0.252,0.326,0.348,0.674,0.2,,,,121,,
김재환,2011,DOO,30,56,54,4,10,3,0,2,19,8,1,0,1,14,0,0,1,1,2,0,0.185,0.352,0.214,0.566,0.5,,,,,6,
김재환,2012,DOO,13,43,39,7,5,1,0,1,9,1,4,0,0,9,0,0,0,0,0,2,0.128,0.231,0.209,0.44,,9,,,,,3
김재환,2014,DOO,52,96,85,12,26,6,0,3,41,13,11,1,0,12,0,0,1,0,3,2,0.306,0.482,0.385,0.867,1,4,,,,32,
김정남,2011,SK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,
김정혁,2011,SAM,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
김정혁,2014,SAM,2,5,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,2,,,
김정훈,2011,SK,3,3,2,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.5,0.5,0.5,1,,,,,,3,
김정훈,2013,SK,4,3,3,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0.667,0.667,0.667,1.334,,,,,,4,
김정훈,2014,SK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,
김종찬,2013,NC,5,7,7,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0.143,0.143,0.143,0.286,,,,,,,1
김종호,2011,SAM,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1
김종호,2012,SAM,22,14,12,3,3,0,0,0,3,0,1,0,1,3,0,0,1,0,0,0,0.25,0.25,0.357,0.607,1,,,,,,18
김종호,2013,NC,128,546,465,72,129,12,7,0,155,22,57,1,17,100,6,1,50,14,11,1,0.277,0.333,0.376,0.709,0.781,,,,,,126
김종호,2014,NC,113,347,317,58,83,11,4,2,108,25,19,0,6,55,5,0,22,7,4,6,0.262,0.341,0.316,0.657,0.759,,,,,,101
김주찬,2010,LOT,118,535,485,89,134,18,4,9,187,40,31,1,5,65,11,3,65,19,5,5,0.276,0.386,0.324,0.71,0.774,55,,,,,84
김주찬,2011,LOT,86,371,321,58,100,12,3,6,136,40,27,0,7,38,12,4,25,10,4,2,0.312,0.424,0.373,0.797,0.714,3,,,,,86
김주찬,2012,LOT,118,488,435,62,128,27,3,5,176,39,30,1,7,48,11,5,32,13,7,2,0.294,0.405,0.346,0.751,0.711,9,,,,,104
김주찬,2013,KIA,47,195,168,24,51,9,4,0,68,28,15,1,4,18,7,1,23,3,4,1,0.304,0.405,0.372,0.777,0.885,5,,,,,44
김주찬,2014,KIA,100,442,399,72,138,32,4,9,205,46,31,2,4,48,6,2,22,10,11,3,0.346,0.514,0.397,0.911,0.688,11,,,,,58
김주현,2014,LOT,9,12,12,2,2,1,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0.167,0.25,0.167,0.417,,,,,,,6
김주형,2011,KIA,88,300,271,23,54,14,0,9,95,40,17,0,4,71,7,1,1,0,6,9,0.199,0.351,0.256,0.607,1,53,2,17,,,
김주형,2012,KIA,56,129,117,8,18,2,0,3,29,12,6,0,1,35,3,2,0,0,0,5,0.154,0.248,0.198,0.446,,38,,10,,,
김주형,2013,KIA,81,279,249,27,60,8,0,9,95,34,23,1,3,54,0,4,1,0,7,6,0.241,0.382,0.308,0.69,1,71,,12,,,
김주형,2014,KIA,64,176,151,16,37,4,0,7,62,26,17,0,2,19,4,2,0,3,3,4,0.245,0.411,0.326,0.737,0,34,,26,,,
김준완,2013,NC,3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,2
김준완,2014,NC,6,5,4,1,2,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0.5,0.5,0.6,1.1,1,,,,,,3
김준태,2013,LOT,4,6,6,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0.333,0.333,0.333,0.666,,,,,,4,
김준호,2010,LG,21,47,45,4,10,1,1,0,13,3,2,0,0,14,0,0,0,0,1,1,0.222,0.289,0.255,0.544,,,,,,,20
김준호,2011,HAN,9,6,6,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0.167,0.167,0.167,0.334,,,,,,,4
김지수,2010,NEX,8,6,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0.167,0.167,,,5,1,3,,
김지수,2013,NEX,37,60,48,9,13,2,0,0,15,3,7,0,0,9,4,1,1,0,1,0,0.271,0.313,0.357,0.67,1,,20,7,10,,
김지수,2014,NEX,28,29,23,2,4,0,0,0,4,3,4,0,0,2,2,0,1,0,1,1,0.174,0.174,0.296,0.47,1,,5,2,14,,1
김진형,2014,DOO,28,42,38,5,9,1,0,0,10,5,3,0,0,7,1,0,0,0,0,2,0.237,0.263,0.293,0.556,,4,,11,,,14
김태군,2010,LG,50,57,51,2,13,1,0,0,14,6,2,0,1,9,3,0,0,0,1,1,0.255,0.275,0.296,0.571,,,,,,48,
김태군,2011,LG,38,53,47,4,11,0,0,0,11,1,4,0,0,4,2,0,0,0,2,0,0.234,0.234,0.294,0.528,,,,,,37,
김태군,2012,LG,100,175,149,7,30,2,0,0,32,14,8,0,5,24,13,0,0,0,6,4,0.201,0.215,0.265,0.48,,,,,,100,
김태군,2013,NC,112,315,277,21,59,5,0,4,76,28,19,0,7,57,11,1,0,2,10,7,0.213,0.274,0.28,0.554,0,,,,,112,
김태군,2014,NC,109,322,294,28,77,13,0,0,90,23,12,0,4,47,9,3,0,1,9,6,0.262,0.306,0.297,0.603,0,,,,,108,
김태균,2012,HAN,126,513,416,61,151,24,0,16,223,80,81,8,11,69,0,5,3,1,11,2,0.363,0.536,0.474,1.01,0.75,84,,,,,
김태균,2013,HAN,101,430,345,41,110,24,0,10,164,52,73,7,8,67,0,4,0,3,14,1,0.319,0.475,0.444,0.919,0,71,,,,,
김태균,2014,HAN,118,508,422,66,154,30,0,18,238,84,70,1,11,73,0,5,0,2,18,3,0.365,0.564,0.463,1.027,0,115,,1,,,
김태완,2010,LG,72,162,142,21,36,11,0,4,59,19,13,0,2,34,3,2,0,2,1,3,0.254,0.415,0.321,0.736,0,,41,33,,,
김태완,2010,HAN,116,473,370,62,98,13,0,15,156,62,86,3,13,99,0,2,7,6,9,2,0.265,0.422,0.418,0.84,0.538,26,,,,,
김태완,2011,LG,76,246,202,26,51,12,0,6,81,29,31,0,2,37,10,1,4,1,7,5,0.252,0.401,0.356,0.757,0.8,,68,22,,,
김태완,2012,LG,58,168,141,16,31,5,0,2,42,14,17,0,2,21,7,1,0,1,4,3,0.22,0.298,0.311,0.609,0,,36,22,7,,
김태완,2013,SAM,83,189,162,19,44,10,0,6,72,19,22,1,2,31,0,3,1,1,5,4,0.272,0.444,0.36,0.804,0.5,,53,12,15,,
김태완,2013,HAN,93,321,279,24,64,13,0,3,86,23,33,1,7,78,0,2,1,2,8,4,0.229,0.308,0.324,0.632,0.333,30,,1,,,25
김태완,2014,SAM,65,108,95,14,33,7,0,2,46,15,8,0,4,17,1,0,0,0,4,0,0.347,0.484,0.421,0.905,,,15,29,,,
김태완,2014,HAN,89,214,186,26,48,8,0,7,77,39,24,1,3,51,0,1,0,0,10,1,0.258,0.414,0.35,0.764,,24,,,,,1
김태우,2013,NC,7,14,13,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0.071,0.071,,,,,,7,
김태우,2014,NC,5,5,5,0,1,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0.2,0.4,0.2,0.6,,,,,,5,
김태훈,2011,KIA,3,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,,,,,,3,
김하성,2014,NEX,60,59,48,17,9,2,1,2,19,7,8,0,0,13,2,1,4,3,2,1,0.188,0.396,0.298,0.694,0.571,1,6,4,28,,
김헌곤,2011,SAM,11,12,12,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0.083,0.083,0.083,0.166,,,,,,,9
김헌곤,2012,SAM,10,18,18,1,2,1,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0.111,0.167,0.111,0.278,,,,,,,7
김헌곤,2013,SAM,7,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,5
김헌곤,2014,SAM,76,143,123,17,32,5,3,3,52,20,13,0,6,20,1,0,2,2,1,1,0.26,0.423,0.359,0.782,0.5,,,,,,66
김현수,2010,DOO,132,565,473,88,150,29,0,24,251,89,78,6,6,64,0,8,4,8,9,3,0.317,0.531,0.414,0.945,0.333,24,,,,,119
김현수,2011,DOO,130,561,475,71,143,25,2,13,211,91,71,9,6,63,0,9,5,3,15,7,0.301,0.444,0.392,0.836,0.625,19,,,,,118
김현수,2012,DOO,122,491,437,47,127,17,1,7,167,65,46,2,3,50,0,5,6,3,9,4,0.291,0.382,0.358,0.74,0.667,5,,,,,117
김현수,2013,DOO,122,510,434,63,131,23,1,16,204,90,62,10,2,71,0,12,2,4,6,2,0.302,0.47,0.382,0.852,0.333,33,,,,,111
김현수,2014,DOO,125,528,463,75,149,26,0,17,226,90,53,5,7,45,0,5,2,0,10,1,0.322,0.488,0.396,0.884,1,1,,,,,124
김형철,2010,KIA,9,9,9,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0.111,0.111,0.111,0.222,,,,9,,,
김회성,2010,HAN,11,19,17,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,1,0,0,0.105,0.105,,1,,8,,,
김회성,2011,HAN,37,59,49,5,7,3,0,2,16,6,5,0,3,19,1,1,0,0,2,0,0.143,0.327,0.259,0.586,,12,,22,,,
김회성,2014,HAN,59,162,140,21,33,8,1,6,61,18,14,0,4,45,3,1,0,0,4,4,0.236,0.436,0.321,0.757,,2,1,53,,,
김희석,2014,SAM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,
나성범,2013,NC,104,458,404,55,98,18,5,14,168,64,33,3,15,95,0,6,12,2,7,3,0.243,0.416,0.319,0.735,0.857,,,,,,104
나성범,2014,NC,123,536,477,88,157,28,5,30,285,101,42,2,15,128,1,1,14,5,4,3,0.329,0.597,0.4,0.997,0.737,,,,,,121
나성용,2011,HAN,27,42,38,4,9,3,0,2,18,7,4,0,0,15,0,0,0,0,1,1,0.237,0.474,0.31,0.784,,,,,,16,
나주환,2010,KIA,109,384,316,42,68,11,0,15,124,53,45,1,18,82,2,3,3,2,9,0,0.215,0.392,0.343,0.735,0.6,,,,,,51
나주환,2010,SK,100,353,305,49,82,13,2,7,120,42,25,0,5,74,16,2,14,6,3,13,0.269,0.393,0.332,0.725,0.7,4,,,97,,
나주환,2011,KIA,85,331,291,41,88,9,0,18,151,66,35,0,4,63,0,1,0,1,4,0,0.302,0.519,0.384,0.903,0,,,,,,20
나주환,2012,KIA,124,480,398,40,109,17,1,11,161,56,56,4,13,93,8,5,7,3,9,0,0.274,0.405,0.377,0.782,0.7,,,,,,40
나주환,2013,KIA,125,522,435,57,125,18,0,21,206,96,62,1,18,111,1,5,7,3,12,4,0.287,0.474,0.394,0.868,0.7,,,,,,91
나주환,2013,SK,15,24,23,0,2,0,0,0,2,0,0,0,0,8,1,0,0,0,0,3,0.087,0.087,0.087,0.174,,,,,15,,
나주환,2014,KIA,118,470,398,64,124,22,0,19,203,79,54,4,12,97,0,6,3,3,9,0,0.312,0.51,0.404,0.914,0.5,,,,,,48
나주환,2014,SK,127,478,422,64,115,25,0,7,161,51,36,0,3,101,14,3,10,3,8,10,0.273,0.382,0.332,0.714,0.769,,127,,,,
노수광,2014,HAN,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1
노진혁,2013,NC,117,361,327,32,73,19,2,3,105,27,26,1,1,83,5,1,1,3,5,10,0.223,0.321,0.282,0.603,0.25,,,,116,,
노진혁,2014,NC,26,16,16,3,3,0,0,1,6,2,0,0,0,7,0,0,0,1,0,0,0.188,0.375,0.188,0.563,0,,,,23,,
로티노,2014,NEX,79,247,216,30,66,18,0,2,90,22,29,3,1,22,0,1,2,0,7,3,0.306,0.417,0.389,0.806,1,3,,,,12,50
류은재,2011,KIA,10,14,13,3,4,1,1,2,13,7,1,0,0,5,0,0,0,0,0,1,0.308,1,0.357,1.357,,,,,,,8
류지혁,2012,DOO,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,,,1,,
마낙길,2013,NC,24,31,29,5,9,1,0,0,10,0,1,0,0,5,1,0,2,2,0,0,0.31,0.345,0.333,0.678,0.5,,,,,,18
마낙길,2014,NC,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,,,,,,,1
모상기,2011,SAM,32,85,74,7,14,3,0,4,29,11,10,0,0,29,0,1,0,0,2,0,0.189,0.392,0.282,0.674,,12,,,,,
모상기,2012,SAM,18,17,16,0,1,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0.063,0.063,0.118,0.181,,9,,,,,
모상기,2013,SAM,5,10,8,0,1,0,0,0,1,0,2,0,0,3,0,0,1,1,0,0,0.125,0.125,0.3,0.425,0.5,2,,,,,
모창민,2010,SK,65,67,60,14,11,2,0,1,16,2,5,0,0,15,2,0,5,3,4,0,0.183,0.267,0.246,0.513,0.625,19,5,14,1,,3
모창민,2012,SK,15,36,32,7,8,2,0,1,13,2,2,0,0,7,2,0,2,1,0,1,0.25,0.406,0.294,0.7,0.667,12,,3,,,
모창민,2013,NC,108,436,395,57,109,24,3,12,175,51,37,0,1,68,2,1,16,3,11,11,0.276,0.443,0.339,0.782,0.842,25,,97,,,
모창민,2014,NC,122,468,419,62,110,15,0,16,173,72,37,0,0,82,8,4,14,3,13,10,0.263,0.413,0.32,0.733,0.824,1,,118,,,
문규현,2010,LOT,80,201,173,18,41,8,0,3,58,16,15,1,4,40,6,3,2,1,3,10,0.237,0.335,0.308,0.643,0.667,,7,15,62,,
문규현,2011,LOT,125,379,327,40,79,13,3,2,104,39,28,0,7,60,14,3,5,2,4,16,0.242,0.318,0.312,0.63,0.714,,3,6,122,,
문규현,2012,LOT,105,277,244,17,50,10,0,0,60,17,13,0,4,50,14,2,0,2,3,13,0.205,0.246,0.255,0.501,0,,,,104,,
문규현,2013,LOT,79,116,101,10,24,2,0,0,26,6,11,0,0,23,2,2,2,0,1,8,0.238,0.257,0.307,0.564,1,,10,,68,,
문규현,2014,LOT,77,275,235,33,66,16,0,2,88,27,26,0,0,30,12,2,5,2,7,7,0.281,0.374,0.35,0.724,0.714,,1,,77,,
문선엽,2014,SAM,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1
문선재,2010,LG,7,5,5,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,,,2,2,1,,
문선재,2013,LG,93,240,217,31,58,10,1,4,82,25,13,0,3,71,6,1,8,5,1,4,0.267,0.378,0.316,0.694,0.615,64,16,,,1,
문선재,2014,LG,22,24,20,4,3,1,0,0,4,4,3,0,0,5,0,1,3,0,0,0,0.15,0.2,0.25,0.45,1,7,2,,,1,4
문우람,2012,NEX,25,71,65,4,15,4,0,0,19,3,4,0,1,13,0,1,0,0,0,0,0.231,0.292,0.282,0.574,,,,,,,25
문우람,2013,NEX,69,291,256,41,78,19,0,4,109,28,25,0,4,43,4,2,2,2,1,2,0.305,0.426,0.373,0.799,0.5,,,,,,65
문우람,2014,NEX,122,368,324,46,92,24,4,6,142,43,33,0,2,54,7,2,5,3,10,4,0.284,0.438,0.352,0.79,0.625,,,,,,118
민병헌,2010,DOO,64,80,70,23,20,2,1,0,24,4,9,2,0,14,1,0,11,4,0,0,0.286,0.343,0.367,0.71,0.733,,,,,,44
민병헌,2012,DOO,4,10,8,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.111,0.111,,,,,,,
민병헌,2013,DOO,119,449,383,71,122,21,7,9,184,65,40,0,7,62,12,7,27,8,7,1,0.319,0.48,0.387,0.867,0.771,,,,,,112
민병헌,2014,DOO,124,527,470,85,162,31,3,12,235,79,37,0,6,63,8,6,16,8,11,0,0.345,0.5,0.395,0.895,0.667,,,,,,123
바티스타,2012,HAN,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
박건우,2013,DOO,34,51,48,12,13,1,0,1,17,7,1,0,1,11,1,0,2,3,4,0,0.271,0.354,0.3,0.654,0.4,,,,,,28
박건우,2014,DOO,47,66,61,7,11,4,1,0,17,3,4,0,0,13,1,0,1,0,0,2,0.18,0.279,0.231,0.51,1,,,,,,38
박경수,2010,LG,80,286,231,33,60,21,0,3,90,21,30,0,16,52,8,1,10,2,3,6,0.26,0.39,0.381,0.771,0.833,,77,,9,,
박경수,2011,LG,111,386,317,36,72,11,1,4,97,26,48,0,7,66,10,4,10,8,7,17,0.227,0.306,0.338,0.644,0.556,,77,,77,,
박경수,2014,LG,87,201,162,33,37,6,1,2,51,19,25,0,5,33,6,3,7,1,6,10,0.228,0.315,0.344,0.659,0.875,,67,1,10,1,
박경완,2010,SK,129,472,381,51,100,20,0,14,162,67,46,2,27,88,15,3,1,1,11,6,0.262,0.425,0.379,0.804,0.5,,,,,128,
박경완,2011,SK,10,16,15,0,2,0,0,0,2,1,1,0,0,6,0,0,0,0,2,0,0.133,0.133,0.188,0.321,,,,,,9,
박경완,2012,SK,8,23,20,0,2,0,0,0,2,0,1,0,0,6,2,0,0,0,2,0,0.1,0.1,0.143,0.243,,,,,,8,
박경완,2013,SK,8,21,19,1,2,0,0,1,5,1,0,0,1,5,1,0,0,0,1,0,0.105,0.263,0.15,0.413,,,,,,8,
박계현,2014,SK,62,144,129,23,44,9,0,0,53,13,8,0,0,24,4,3,7,3,2,6,0.341,0.411,0.371,0.782,0.7,,14,34,,,
박기남,2010,KIA,76,173,147,26,40,6,0,3,55,24,18,0,3,27,4,1,3,3,1,5,0.272,0.374,0.361,0.735,0.5,,8,66,1,,
박기남,2011,KIA,85,184,152,23,34,9,0,3,52,16,20,0,4,31,8,0,4,2,7,2,0.224,0.342,0.33,0.672,0.667,,26,50,1,,
박기남,2012,KIA,99,274,225,28,57,16,0,2,79,25,27,0,5,34,13,4,1,0,1,4,0.253,0.351,0.341,0.692,1,,4,92,,,
박기남,2013,KIA,91,214,174,35,50,11,0,4,73,21,25,0,2,28,11,2,2,0,4,8,0.287,0.42,0.379,0.799,1,,18,61,19,,
박기남,2014,KIA,90,202,171,21,49,9,0,3,67,21,22,0,2,25,5,2,2,5,5,5,0.287,0.392,0.371,0.763,0.286,,20,52,5,,
박기혁,2010,LOT,48,166,153,10,33,3,0,0,36,13,6,0,1,18,5,1,2,0,5,10,0.216,0.235,0.248,0.483,1,,,,48,,
박기혁,2013,LOT,31,70,60,4,12,2,0,0,14,9,9,0,0,11,1,0,1,3,3,3,0.2,0.233,0.304,0.537,0.25,,,,31,,
박기혁,2014,LOT,22,63,51,8,8,2,0,0,10,2,10,0,0,11,2,0,0,1,1,2,0.157,0.196,0.295,0.491,0,,,,22,,
박노민,2010,HAN,21,39,37,3,7,3,0,1,13,2,1,0,1,16,0,0,0,0,1,1,0.189,0.351,0.231,0.582,,,,,,19,
박노민,2011,HAN,37,81,72,10,18,3,0,2,27,11,6,0,1,16,2,0,1,0,1,5,0.25,0.375,0.316,0.691,1,,,,,31,
박노민,2012,HAN,19,47,41,1,7,1,0,0,8,2,6,0,0,13,0,0,0,0,1,1,0.171,0.195,0.277,0.472,,,,,,15,
박노민,2013,HAN,27,68,64,4,14,4,0,0,18,7,2,0,0,23,2,0,1,0,2,0,0.219,0.281,0.242,0.523,1,,,,,27,
박노민,2014,HAN,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
박동원,2010,NEX,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,7,
박동원,2013,NEX,69,106,98,5,19,6,0,1,28,6,7,0,1,28,0,0,1,0,6,6,0.194,0.286,0.255,0.541,1,,,,,69,
박동원,2014,NEX,76,198,174,32,44,7,2,6,73,26,13,0,5,41,5,1,0,0,7,7,0.253,0.42,0.321,0.741,,,,,,76,
박명환,2014,NC,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
박민우,2013,NC,32,47,41,10,11,1,0,0,12,6,5,0,0,6,0,1,9,2,3,3,0.268,0.293,0.34,0.633,0.818,2,17,,2,,
박민우,2014,NC,118,491,416,87,124,21,9,1,166,40,56,0,11,89,4,4,50,10,5,10,0.298,0.399,0.392,0.791,0.833,,115,,,,
박병호,2010,LG,78,192,160,25,30,4,0,7,55,22,26,3,2,55,2,2,5,1,5,0,0.188,0.344,0.305,0.649,0.833,70,,,,,
박병호,2011,NEX,66,230,201,31,51,11,2,13,105,31,26,0,2,76,0,1,2,0,5,5,0.254,0.522,0.343,0.865,1,61,,3,,,
박병호,2012,NEX,133,560,469,76,136,34,0,31,263,105,73,3,11,111,0,7,20,9,6,7,0.29,0.561,0.393,0.954,0.69,119,,,,,
박병호,2013,NEX,128,556,450,91,143,17,0,37,271,117,92,4,8,96,0,6,10,2,7,5,0.318,0.602,0.437,1.039,0.833,119,,,,,
박병호,2014,NEX,128,571,459,126,139,16,2,52,315,124,96,3,12,142,0,4,8,3,13,4,0.303,0.686,0.433,1.119,0.727,115,,,,,
박상규,2013,HAN,5,7,6,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.167,0.167,0.286,0.453,,,,,,,2
박상혁,2013,NC,8,15,15,0,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0.133,0.133,0.133,0.266,,,,,,,6
박상현,2010,SK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,
박석민,2010,SAM,112,457,356,58,108,18,0,15,171,64,76,4,15,84,5,5,3,2,14,7,0.303,0.48,0.44,0.92,0.6,18,,54,,,
박석민,2011,SAM,128,537,457,74,127,24,3,15,202,86,59,1,13,105,5,3,3,1,13,13,0.278,0.442,0.374,0.816,0.75,35,,97,,,
박석민,2012,SAM,127,549,443,79,138,19,3,23,232,91,72,5,27,83,2,5,2,3,8,12,0.312,0.524,0.433,0.957,0.4,11,,119,,,
박석민,2013,SAM,117,474,396,61,126,24,0,18,204,76,54,1,21,73,0,2,4,2,13,10,0.318,0.515,0.425,0.94,0.667,2,,106,,,
박석민,2014,SAM,110,425,356,77,112,21,0,27,214,72,54,3,12,62,0,3,0,1,12,12,0.315,0.601,0.419,1.02,0,5,,103,,,
박세혁,2012,DOO,6,6,6,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,,,,,,6,
박세혁,2013,DOO,18,31,26,4,6,3,0,0,9,2,3,0,1,6,1,0,0,0,0,1,0.231,0.346,0.333,0.679,,,,,,16,
박승욱,2012,SK,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,1,,
박승욱,2013,SK,15,28,25,6,5,0,0,0,5,1,3,0,0,9,0,0,1,0,0,1,0.2,0.2,0.286,0.486,1,,10,,1,,
박용근,2010,LG,53,110,99,17,26,2,2,2,38,19,7,0,2,20,2,0,8,2,2,2,0.263,0.384,0.324,0.708,0.8,,17,19,20,,1
박용근,2014,LG,27,25,19,8,4,2,0,0,6,0,6,0,0,6,0,0,1,0,1,2,0.211,0.316,0.4,0.716,1,,3,5,7,,2
박용택,2010,LG,107,420,370,62,111,21,0,9,159,45,38,3,5,64,6,1,19,4,6,0,0.3,0.43,0.372,0.802,0.826,,,,,,17
박용택,2011,LG,115,450,414,57,125,21,1,15,193,64,26,4,5,71,1,4,13,3,8,1,0.302,0.466,0.347,0.813,0.813,,,,,,16
박용택,2012,LG,127,556,499,82,152,34,3,11,225,76,42,1,7,66,1,7,30,8,9,0,0.305,0.451,0.362,0.813,0.789,,,,,,99
박용택,2013,LG,125,539,476,79,156,22,4,7,207,67,52,1,4,71,0,7,13,8,5,0,0.328,0.435,0.393,0.828,0.619,,,,,,103
박용택,2014,LG,124,549,464,71,159,24,2,9,214,73,75,3,1,65,2,7,11,9,15,1,0.343,0.461,0.43,0.891,0.55,,,,,,91
박윤,2011,SK,10,17,15,3,3,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0.2,0.2,0.294,0.494,,4,,,,,
박윤,2012,SK,7,20,17,0,3,1,0,0,4,2,0,0,0,3,2,1,0,0,0,0,0.176,0.235,0.167,0.402,,7,,,,,
박윤,2014,SK,6,15,15,0,4,0,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0.267,0.267,0.267,0.534,,5,,,,,
박으뜸,2013,NC,40,31,27,6,5,1,0,0,6,2,3,1,1,8,0,0,1,0,0,0,0.185,0.222,0.29,0.512,1,,,,,,32
박인성,2010,SK,97,384,321,57,82,19,1,6,121,42,38,1,7,63,13,5,9,6,2,1,0.255,0.377,0.342,0.719,0.6,,,,,,94
박인성,2011,SK,93,352,301,37,77,17,4,4,114,39,33,1,5,54,11,2,13,5,7,2,0.256,0.379,0.337,0.716,0.722,,,,,,91
